claim_index,url,claim,parameter,context,range_id,source_ids,status,action_required
92,academy/fundamentals/pool-vs-hot-tub-chemistry.html,Key Facts A typical hot tub holds 300–500 gallons — roughly 1/30th the volume of a small pool.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
93,academy/fundamentals/pool-vs-hot-tub-chemistry.html,"Hot tub chlorine target is 3–5 ppm vs 1–3 ppm for pools, because heat and bather concentration are higher.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
94,academy/fundamentals/pool-vs-hot-tub-chemistry.html,Hot tub pH should be tested at every soak session — it shifts faster than pool water.,ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
95,academy/fundamentals/pool-vs-hot-tub-chemistry.html,"High jets and aeration in hot tubs rapidly off-gas carbon dioxide, driving pH upward.",ph,hot_tub/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
96,academy/fundamentals/pool-vs-hot-tub-chemistry.html,A hot tub holds 300–500 gallons.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
97,academy/fundamentals/pool-vs-hot-tub-chemistry.html,"When a single bather enters a hot tub, the effective bather load per gallon is 30–50 times higher than the same person entering a pool.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
98,academy/fundamentals/pool-vs-hot-tub-chemistry.html,This is why hot tub chlorine targets are higher and why water can drop below safe levels within a single soak session.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
99,academy/fundamentals/pool-vs-hot-tub-chemistry.html,Temperature and Chemical Reactions Hot tub water typically operates at 98–104°F.,water_temperature,hot_tub/unspecified_sanitizer,,,REQUIRES_REVIEW,No canonical range exists yet for water_temperature in context hot_tub/unspecified_sanitizer; needs dedicated research in a future phase.
100,academy/fundamentals/pool-vs-hot-tub-chemistry.html,"Higher temperatures speed up all chemical reactions, including chlorine consumption, scaling, and pH drift.",ph,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
101,academy/fundamentals/pool-vs-hot-tub-chemistry.html,Chlorine depletes two to three times faster at hot tub temperatures than at pool temperatures.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
102,academy/fundamentals/pool-vs-hot-tub-chemistry.html,The Langelier Saturation Index also shifts significantly with temperature — water that is balanced at 80°F can be aggressively scaling at 100°F with the same hardness and alkalinity values.,total_alkalinity,unspecified_env/unspecified_sanitizer,range-ta-public-pool-standard,,CONTEXTUAL,"Falls within a canonical range record, but that record itself is not yet source-backed (see chemistry-ranges.js status) -- treat as a plausible industry figure pending confirmation."
103,academy/fundamentals/the-four-core-water-tests.html,Hot Tub Chemistry How Temperature Changes Water Chemistry Why Water Testing Matters On This Page Key Facts Test 1: Free Chlorine Test 2: pH Tests 3 & 4: Alkalinity and Hardness Examples Common Mistakes Calculators Chemical Calculator Pool Alkalinity Calculator Pool Cyanuric Acid Calculator Fundament…,ph,unspecified_env/chlorine,,,SUPPORTED,Matches canonical chemical-mixing safety guidance (CPSC/CDC/NPIC-backed); no action required.
104,academy/fundamentals/the-four-core-water-tests.html,"The four core tests — free chlorine, pH, total alkalinity, and calcium hardness — each reveal a different dimension of water safety and stability.",ph,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
105,academy/fundamentals/the-four-core-water-tests.html,Key Facts Free chlorine (1–3 ppm) is the test most directly linked to swimmer health. pH (7.2–7.6) controls how effectively chlorine kills pathogens.,ph,unspecified_env/chlorine,,,REQUIRES_REVIEW,"Numeric value (1-3) does not overlap any canonical range for ph in this context (closest candidates: range-ph-pool-chlorine-routine, range-ph-hottub-chlorine-routine) -- flag for the consistency matrix as a possible contradiction candidate."
106,academy/fundamentals/the-four-core-water-tests.html,Total alkalinity (80–120 ppm) buffers pH against sudden changes.,ph,unspecified_env/unspecified_sanitizer,,,REQUIRES_REVIEW,"Numeric value (80-120) does not overlap any canonical range for ph in this context (closest candidates: range-ph-pool-chlorine-routine, range-ph-hottub-chlorine-routine, range-ph-hottub-bromine-routine, range-ph-pool-narrow-operational) -- flag for the consistency matrix as a possible contradiction candidate."
107,academy/fundamentals/the-four-core-water-tests.html,Calcium hardness (200–400 ppm for plaster pools) protects pool surfaces and equipment.,calcium_hardness,pool/unspecified_sanitizer,range-ch-public-pool-standard,,CONTEXTUAL,"Falls within a canonical range record, but that record itself is not yet source-backed (see chemistry-ranges.js status) -- treat as a plausible industry figure pending confirmation."
108,academy/fundamentals/the-four-core-water-tests.html,Test 1: Free Chlorine Free chlorine (FC) is the most critical safety test.,free_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
109,academy/fundamentals/the-four-core-water-tests.html,Target range is 1–3 ppm for pools and 3–5 ppm for hot tubs.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
110,academy/fundamentals/the-four-core-water-tests.html,"Below 1 ppm, sanitation is inadequate.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
111,academy/fundamentals/the-four-core-water-tests.html,"Above 5 ppm, swimming is uncomfortable and surfaces may bleach.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
112,academy/fundamentals/the-four-core-water-tests.html,FC should be tested at least twice per week in summer and after every heavy rain or large bather load.,free_chlorine,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
113,academy/fundamentals/the-four-core-water-tests.html,"Use a DPD-based test kit or test strips rated for free chlorine specifically — OTO-based kits measure total chlorine, which is less useful.",free_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
114,academy/fundamentals/the-four-core-water-tests.html,Test 2: pH pH is the most important factor in chlorine effectiveness.,ph,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
115,academy/fundamentals/the-four-core-water-tests.html,Test pH every time you test chlorine. pH tends to drift upward in pools as carbon dioxide escapes from the water surface.,ph,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
116,academy/fundamentals/the-four-core-water-tests.html,"Aeration from waterfalls, jets, and high temperatures accelerates this.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
117,academy/fundamentals/the-four-core-water-tests.html,Sodium carbonate (soda ash) raises pH; muriatic acid or sodium bisulfate lowers it.,ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
118,academy/fundamentals/understanding-pool-water-chemistry.html,Hot Tub Chemistry How Temperature Changes Water Chemistry Why Water Testing Matters On This Page Key Facts Free Chlorine: The Active Sanitizer pH: The Master Control Alkalinity and Stabilizer Examples Common Mistakes Calculators Chemical Calculator Pool Chlorine Calculator Pool Ph Calculator Fundame…,ph,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
119,academy/fundamentals/understanding-pool-water-chemistry.html,"Key Facts Examples Calculator Related Maintaining a pool reduces to four core measurements: free chlorine, pH, total alkalinity, and cyanuric acid.",ph,pool/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
120,academy/fundamentals/understanding-pool-water-chemistry.html,Key Facts Free chlorine should be 1–3 ppm for pools and 3–5 ppm for hot tubs. pH between 7.2 and 7.6 is essential for both swimmer comfort and chlorine effectiveness.,ph,hot_tub/chlorine,,,REQUIRES_REVIEW,Numeric value (1-3) does not overlap any canonical range for ph in this context (closest candidates: range-ph-hottub-chlorine-routine) -- flag for the consistency matrix as a possible contradiction candidate.
